titulo,preco,area,quartos,banheiros,garagem,endereco,UF,cidade,tipo_imovel
Apartamento com 3 Quartos à Venda com 77m²,194900.0,77,3,2,1,"Rua da Borracha, 760 - Parque Oeste Industrial, Goiânia - GO",GO,Goiânia,Apartamento
Casa com 2 Quartos à Venda com 175m²,289000.0,175,2,1,1,"Rua Sebastião Pereira - Califórnia, Barra do Piraí - RJ",RJ,Barra do Piraí,Casa
Apartamento com 3 Quartos à Venda com 102m²,1698000.0,102,3,3,1,"Rua Marquês de São Vicente, 99 - Gávea, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 3 Quartos à Venda com 80m²,850000.0,80,3,3,1,"Rua General Pereira da Silva, 87 - Icaraí, Niterói - RJ",RJ,Niterói,Apartamento
Apartamento com 2 Quartos à Venda com 87m²,399900.0,87,2,3,1,"Rua Comandante Rúbens Silva - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 2 Quartos à Venda com 80m²,529900.0,80,2,3,1,"Rua Marechal Pilsudski, 90 - Alto da Boa Vista, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 3 Quartos à Venda com 121m²,900000.0,121,3,2,1,"Rua Marquês de Abrantes, 111 - Flamengo, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 2 Quartos à Venda com 81m²,495000.0,81,2,3,2,"Rua Engenheiro Paul Werner, 372 - Itoupava Seca, Blumenau - SC",SC,Blumenau,Apartamento
Apartamento com Quarto à Venda com 31m²,320000.0,31,1,1,1,"Rua Professor Eduardo Wanderley Filho, 1 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Apartamento com 3 Quartos à Venda com 86m²,740000.0,86,3,3,1,"Rua Antônio de Sá Leitão, 19 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Apartamento com 2 Quartos à Venda com 62m²,373000.0,62,2,1,1,"Rua Romeu Chiminasso, 730 - Chácara das Nações, Valinhos - SP",SP,Valinhos,Apartamento
Apartamento com 3 Quartos à Venda com 84m²,735000.0,84,3,4,2,"Rua Caio Pereira, 417 - Rosarinho, Recife - PE",PE,Recife,Apartamento
Apartamento com 3 Quartos à Venda com 156m²,2589686.0,156,3,1,2,"Avenida A, 1 - Paiva, Cabo de Santo Agostinho - PE",PE,Cabo de Santo Agostinho,Apartamento
Apartamento com Quarto à Venda com 22m²,254007.0,22,1,1,1,"Praia dos Carneiros, Tamandaré - PE",PE,Tamandaré,Apartamento
Apartamento com Quarto à Venda com 22m²,254008.0,22,1,1,1,"Praia dos Carneiros, Tamandaré - PE",PE,Tamandaré,Apartamento
Apartamento com Quarto à Venda com 20m²,210000.0,20,1,1,1,"Maracaípe, Ipojuca - PE",PE,Ipojuca,Apartamento
Casa à Venda com 1000m²,5300000.0,1000,0,7,0,"Rua Samuel Fragoso Coimbra, 26 - Vila Nova Valinhos, Valinhos - SP",SP,Valinhos,Casa
Apartamento com Quarto à Venda com 40m²,700000.0,40,1,1,1,"Porto de Galinhas, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com 2 Quartos à Venda com 54m²,550000.0,54,2,1,1,"Rua Félix de Brito Melo, 1 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Casa com 3 Quartos à Venda com 165m²,2700000.0,165,3,1,2,"Muro Alto, Ipojuca - PE",PE,Ipojuca,Casa
Apartamento com Quarto à Venda com 32m²,293000.0,32,1,1,1,"Rua Tenente Domingos de Brito, 425 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Apartamento com Quarto à Venda com 55m²,213000.0,55,1,1,0,"Rua Henrique Dias, 44 - Ponte Preta, Campinas - SP",SP,Campinas,Apartamento
Apartamento com 2 Quartos à Venda com 51m²,370000.0,51,2,2,1,"Rua Doutor José Maria, 246 - Encruzilhada, Recife - PE",PE,Recife,Apartamento
Apartamento com 3 Quartos à Venda com 66m²,650000.0,66,3,1,1,"Rua São Vicente, 255 - Tamarineira, Recife - PE",PE,Recife,Apartamento
Apartamento com 2 Quartos à Venda com 52m²,340000.0,52,2,2,1,"Rua São Francisco, 197 - Piedade, Jaboatão dos Guararapes - PE",PE,Jaboatão dos Guararapes,Apartamento
Apartamento com 2 Quartos à Venda com 44m²,458000.0,44,2,2,1,"Rua dos Navegantes, 785 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Apartamento com 2 Quartos à Venda com 47m²,374000.0,47,2,1,1,"Avenida Padre Guilherme Ary, 81 - Vila Satúrnia, Campinas - SP",SP,Campinas,Apartamento
Apartamento com 4 Quartos à Venda com 162m²,1749999.0,162,4,5,2,"Rua Doutor Pedro de Mello Cahu, 22 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Apartamento com Quarto à Venda com 20m²,420000.0,20,1,1,1,"Praia do Cupe, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com 2 Quartos à Venda com 65m²,1400000.0,65,2,1,2,"Muro Alto, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com Quarto à Venda com 30m²,370000.0,30,1,1,1,"Rua Espinheiro, 131 - Porto de Galinhas, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com 3 Quartos à Venda com 90m²,1600000.0,90,3,1,2,"Muro Alto, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com 2 Quartos à Venda com 64m²,1200000.0,64,2,1,2,"Muro Alto, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com Quarto à Venda com 30m²,599000.0,30,1,1,1,"Muro Alto, Ipojuca - PE",PE,Ipojuca,Apartamento
Apartamento com 4 Quartos à Venda com 173m²,2150000.0,173,4,5,3,"Cais do Apolo, 1541 - Recife, Recife - PE",PE,Recife,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,160000.0,41,2,1,1,"Rua Barão de São Francisco, 603 - Santa Monica, Camaragibe - PE",PE,Camaragibe,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,160000.0,41,2,1,1,"Rua Barão de São Francisco, 1563 - Santa Monica, Camaragibe - PE",PE,Camaragibe,Apartamento
Apartamento com 3 Quartos à Venda com 63m²,394990.0,63,3,2,6,"Rua Manoel Cavalcanti Bezerra, 10 - Imbiribeira, Recife - PE",PE,Recife,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,135000.0,41,2,1,1,"Rua Registro, 3467 - Barra de Jangada, Jaboatão dos Guararapes - PE",PE,Jaboatão dos Guararapes,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,135000.0,41,2,1,1,"Rua Nápoles, 2533 - Fragoso, Olinda - PE",PE,Olinda,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,135000.0,41,2,1,1,"Avenida General Manoel Rabelo, 4523 - Socorro, Jaboatão dos Guararapes - PE",PE,Jaboatão dos Guararapes,Apartamento
Apartamento com 2 Quartos à Venda com 41m²,135000.0,41,2,1,0,"Rua Nápoles, 5061 - Fragoso, Olinda - PE",PE,Olinda,Apartamento
Kitnet/Conjugado com Quarto à Venda com 45m²,700000.0,45,1,1,0,"Rua Antônio Parreiras, 60 - Ipanema, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Apartamento com 3 Quartos à Venda com 56m²,190000.0,56,3,2,1,"Rua Manoel Carneiro Leão, 1 - Dois Carneiros, Jaboatão dos Guararapes - PE",PE,Jaboatão dos Guararapes,Apartamento
Casa com 3 Quartos à Venda com 111m²,400000.0,111,3,1,2,"Rua Ângelo de Cândia - São Mateus, São Paulo - SP",SP,São Paulo,Casa
Apartamento com 2 Quartos à Venda com 44m²,400000.0,44,2,2,1,"Avenida Fernando Simões Barbosa, 1222 - Boa Viagem, Recife - PE",PE,Recife,Apartamento
Casa com 2 Quartos à Venda com 75m²,316000.0,75,2,1,1,"Rua Rufino Antônio de Oliveira, 47 - Jardim Recanto Alegre, Bragança Paulista - SP",SP,Bragança Paulista,Casa
Casa com 2 Quartos à Venda com 60m²,115000.0,60,2,1,2,"Rua da Fonte, 100 - Nova Cidade, Rio das Ostras - RJ",RJ,Rio das Ostras,Casa
Apartamento com Quarto à Venda com 65m²,699000.0,65,1,1,2,"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Casa com 3 Quartos à Venda com 120m²,80000.0,120,3,2,1,"Rua São Paulo, 0 - Val de Caes, Belém - PA",PA,Belém,Casa
Apartamento com 2 Quartos à Venda com 60m²,598000.0,60,2,2,2,"Avenida Cezar Hilal - Bento Ferreira, Vitória - ES",ES,Vitória,Apartamento
Apartamento com 3 Quartos à Venda com 70m²,557000.0,70,3,2,1,"Avenida Pau Brasil, 18 - Sul, Brasília - DF",DF,Brasília,Apartamento
Casa com 2 Quartos à Venda com 135m²,500000.0,135,2,3,1,"Rua Josefina Sório, 275 - Vila Santa Rosa, Guarujá - SP",SP,Guarujá,Casa
Casa com 2 Quartos à Venda com 62m²,270000.0,62,2,1,2,"Rua Venyr Conceição, 1 - Ampliação, Itaboraí - RJ",RJ,Itaboraí,Casa
Apartamento com 4 Quartos à Venda com 189m²,630000.0,189,4,5,2,"Rua Doutor José Lourenço, 781 - Meireles, Fortaleza - CE",CE,Fortaleza,Apartamento
Apartamento com 2 Quartos à Venda com 96m²,670000.0,96,2,3,1,"Rua Santa Rosa, 910 - Icaraí, Niterói - RJ",RJ,Niterói,Apartamento
Apartamento com 2 Quartos à Venda com 62m²,507000.0,62,2,1,0,"Rua das Laranjeiras - Laranjeiras, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 4 Quartos à Venda com 170m²,2499000.0,170,4,4,2,"Rua Barão de Lucena, 43 - Botafogo, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 2 Quartos à Venda com 73m²,698000.0,73,2,3,1,"Rua Ministro Otávio Kelly, 467 - Icaraí, Niterói - RJ",RJ,Niterói,Apartamento
Apartamento com 2 Quartos à Venda com 50m²,65000.0,50,2,2,1,"Avenida Brasília, 279 - Eusebio, Eusébio - CE",CE,Eusébio,Apartamento
Casa com 3 Quartos à Venda com 100m²,319370.0,100,3,2,1,"Rua Anísio Gonçalves, 100 - Campo Grande, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Apartamento com 2 Quartos à Venda com 85m²,390000.0,85,2,2,1,"Rua Campo Largo, 550 - Itacolomi, Balneário Piçarras - SC",SC,Balneário Piçarras,Apartamento
Casa com 5 Quartos à Venda com 441m²,1500000.0,441,5,7,2,"Rua Firmino da Silva - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Apartamento com Quarto à Venda com 38m²,530000.0,38,1,1,0,"Rua Júlio de Castilhos, 37 - Copacabana, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 3 Quartos à Venda com 126m²,550000.0,126,3,2,1,"Rua Uruguai, 387 - Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Casa com 3 Quartos à Venda com 360m²,620000.0,360,3,3,2,"Rua Quatro, 500 - Itaipu, Niterói - RJ",RJ,Niterói,Casa
Apartamento com 3 Quartos à Venda com 91m²,320000.0,91,3,1,1,"Rua do Bispo, 151 - Rio Comprido, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com Quarto à Venda com 31m²,230677.0,31,1,1,0,"Rua Antonio Adolfo Cabral, 100 - Gravata, Navegantes - SC",SC,Navegantes,Apartamento
Casa com 4 Quartos à Venda com 139m²,849000.0,139,4,4,2,"Rua Geminiano Gois, 820 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Apartamento com 2 Quartos à Venda com 53m²,359999.0,53,2,1,1,"Avenida Almirante Barroso - Praia de Iracema, Fortaleza - CE",CE,Fortaleza,Apartamento
Apartamento com Quarto à Venda com 19m²,179011.0,19,1,1,1,"TAMANDARE I, Praia de Tamandaré - PE",PE,Praia de Tamandaré,Apartamento
Casa com 3 Quartos à Venda com 192m²,583000.0,192,3,2,4,"Jardim Independência, Taubaté - SP",SP,Taubaté,Casa
Apartamento com 2 Quartos à Venda com 83m²,260000.0,83,2,2,1,"Rua Maia Lacerda, 637 - Estacio, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Apartamento com 2 Quartos à Venda com 65m²,709000.0,65,2,1,1,"Rua Helena Meira Lima, 222 - Tambaú, João Pessoa - PB",PB,João Pessoa,Apartamento
Casa com 2 Quartos à Venda com 90m²,705000.0,90,2,2,1,"Rua Leonel Rabelo, 18 - Vila Siqueira Zona Norte, São Paulo - SP",SP,São Paulo,Casa
Apartamento com 3 Quartos à Venda com 110m²,1349000.0,110,3,4,2,"Rua Elizabeth Barbegian Baldinato - Morumbi, São Paulo - SP",SP,São Paulo,Apartamento
Casa de condomínio com 3 Quartos à Venda com 200m²,1500000.0,200,3,2,4,"Estrada Dinorah - Golden Park Residencial, Sorocaba - SP",SP,Sorocaba,Casa
Apartamento com 4 Quartos à Venda com 322m²,6125099.0,322,4,6,4,"Rua Jorge Tzachel, 316 - Fazenda, Itajaí - SC",SC,Itajaí,Apartamento
Casa com 4 Quartos à Venda com 250m²,1299000.0,250,4,3,4,"Rua Professor Arruda Sampaio - Vila Nair, São Paulo - SP",SP,São Paulo,Casa
Apartamento com Quarto à Venda com 41m²,1400000.0,41,1,1,1,"Alameda dos Arapanés - Moema, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com 2 Quartos à Venda com 70m²,1300000.0,70,2,2,1,"Rua Getúlio Soares da Rocha, 152 - Jardim das Acacias, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com Quarto à Venda com 44m²,1200000.0,44,1,1,1,"Rua Felipe Schmidt, 869 - Centro, Florianópolis - SC",SC,Florianópolis,Apartamento
Apartamento com 2 Quartos à Venda com 59m²,753553.0,59,2,2,1,"Rua Antônio Marcondes, 194 - Vila Dom Pedro I, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com 3 Quartos à Venda com 76m²,1026000.0,76,3,2,2,"Rua Artur Thiré, 773 - Saúde, São Paulo - SP",SP,São Paulo,Apartamento
